dataset,model,pooling,probe,feature_dim,n_train,n_test,n_classes,seed,cv_folds,tuning_candidates,selection_metric,cv_score,best_params,MCC,AUROC,F1,Accuracy
genomic_benchmark/human_vs_worm,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,75000,25000,2,42,4,4,roc_auc,0.987725240888889,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.8924956492431426,0.9887030272,0.946197117112408,0.9462
genomic_benchmark/open_chromatin_region,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,139804,34952,2,42,4,4,roc_auc,0.6804767854938438,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.2657097404750814,0.6813177648438736,0.6321360621601856,0.6325532158388647
genomic_benchmark/promoter_notata_251bps,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,27097,9034,2,42,4,4,roc_auc,0.9012266525045426,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.6701734489954877,0.906601593439528,0.8330458402494637,0.8332964356874032
genomic_benchmark/regulatory_region_type,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,150000,57713,3,42,4,4,accuracy,0.5867333333333333,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.3541808770956341,0.7702882667161962,0.5590108028866599,0.5710845043577704
iDHS-EL/DNase_I,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,711,306,2,42,4,4,roc_auc,0.8292555939526973,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.6051816092349438,0.8686186186186187,0.8019308369255347,0.8464052287581699
iDNA_ABF/5mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,3281,1407,2,42,4,4,roc_auc,0.7839635376636835,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5114456461397587,0.8111745118324065,0.7512265013718118,0.7526652452025586
iDNA_ABF/6mA,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,25668,11002,2,42,4,4,roc_auc,0.7960079569889549,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4393788408291029,0.794663798464565,0.7196859956742137,0.7196873295764407
iPro-WAEL/Promoter_Arabidopsis_NonTATA,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,8267,3543,2,42,4,4,roc_auc,0.940114682116623,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.7380767713524367,0.9387170146567536,0.8690372779862126,0.869037538808919
iPro-WAEL/Promoter_Arabidopsis_TATA,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,3063,1313,2,42,4,4,roc_auc,0.9314228150423765,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.7071384322428661,0.935752289037367,0.8531190202831994,0.8697638994668697
iPro-WAEL/Promoter_B_amyloliquefaciens,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,1483,636,2,42,4,4,roc_auc,0.8826874673009482,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5943500271008583,0.8775253898717404,0.7971572745635658,0.7971698113207547
