dataset,pca_fm_NTv3_650M_pre_MCC,pca_fm_NTv3_650M_pre_AUROC,pca_fm_NTv3_650M_pre_F1,pca_fm_NTv3_650M_pre_Accuracy,pca_kmer_k4_MCC,pca_kmer_k4_AUROC,pca_kmer_k4_F1,pca_kmer_k4_Accuracy,pca_kmer_k5_MCC,pca_kmer_k5_AUROC,pca_kmer_k5_F1,pca_kmer_k5_Accuracy,pca_kmer_k6_MCC,pca_kmer_k6_AUROC,pca_kmer_k6_F1,pca_kmer_k6_Accuracy,pca_kmer_k7_MCC,pca_kmer_k7_AUROC,pca_kmer_k7_F1,pca_kmer_k7_Accuracy,pca_kmer_k8_MCC,pca_kmer_k8_AUROC,pca_kmer_k8_F1,pca_kmer_k8_Accuracy,pca_fm_hyenadna-medium-160k-seqlen-hf_MCC,pca_fm_hyenadna-medium-160k-seqlen-hf_AUROC,pca_fm_hyenadna-medium-160k-seqlen-hf_F1,pca_fm_hyenadna-medium-160k-seqlen-hf_Accuracy,pca_fm_DNABERT-2-117M_MCC,pca_fm_DNABERT-2-117M_AUROC,pca_fm_DNABERT-2-117M_F1,pca_fm_DNABERT-2-117M_Accuracy
iDNA_ABF/5mC,0.4334566076421057,0.7852264645027803,0.7162321385516134,0.7164179104477612,0.38877887925008,0.7706400329755594,0.6943838273625508,0.6943852167732765,0.3618542260544254,0.7427704319151687,0.6808497094904502,0.6808813077469794,0.2780539373865081,0.7076854066985647,0.60180379341279,0.6233120113717129,,,,,,,,,0.2807462427414719,0.6946861260183629,0.6403679456870947,0.6403695806680881,0.168442406816923,0.6325811457390406,0.5842209082941638,0.5842217484008528
iDNA_ABF/6mA,0.4672078921112095,0.8105758464500232,0.7330169872439384,0.7332303217596801,0.4771040721990498,0.8157608203377013,0.7380524006307821,0.7382294128340302,0.4692287545715745,0.8161720757353665,0.7341549397797584,0.7343210325395383,0.4390805153061776,0.7997388453871701,0.7190363077676948,0.7192328667514998,,,,,,,,,0.3315105672093866,0.7258016679620083,0.6643593340712195,0.6650608980185421,0.3175051881932618,0.7050870194280752,0.6576964690991021,0.6582439556444283
iPro-WAEL/Promoter_Arabidopsis_NonTATA,0.843551002073785,0.975927056553222,0.9205882472587282,0.9206886819079876,0.7574599424139712,0.9564905111573088,0.8782926913829979,0.8783516793677675,0.7673580677223849,0.9583109745294454,0.882746233149623,0.882867626305391,0.7867024057192418,0.9546053612694108,0.8910600571112992,0.8913350268134349,,,,,,,,,0.7363255221878378,0.9428255643659512,0.8678612982094871,0.8679085520745131,0.6795180747066614,0.9131052969015478,0.8393197150843239,0.8394016370307649
iPro-WAEL/Promoter_Arabidopsis_TATA,0.7934194376857526,0.9645882310484204,0.896423628292564,0.907844630616908,0.76477015673529,0.9592406994968242,0.8810601116526455,0.8956587966488957,0.7143932659227582,0.9547476903406747,0.8480523107349683,0.8728103579588729,0.65168810836218,0.9545852924193682,0.8077631941573653,0.8446306169078446,,,,,,,,,0.6833456464377884,0.9353424276169264,0.8372054892900577,0.8606245239908606,0.488584484795843,0.88953332508455,0.7013984347651954,0.7768469154607769
iPro-WAEL/Promoter_B_amylolique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPro-WAEL/Promoter_B_amyloliquefaciens,0.6063580583410034,0.8766848293662175,0.8013839869929016,0.8018867924528302,0.591253869666204,0.8512010126281855,0.7955954629510597,0.7955974842767296,0.5892474867045349,0.8648279817647814,0.7937554305178394,0.7940251572327044,0.3698491592034892,0.8576782729942742,0.5921940340117089,0.6383647798742138,,,,,,,,,0.601552033634861,0.8603334552970145,0.8002033289550821,0.800314465408805,0.4529248596161376,0.795971242941764,0.7263474416166332,0.7264150943396226
iPro-WAEL/Promoter_GM12878,0.8800840265788077,0.9817253553719008,0.9399971357310412,0.94,0.8683748894268519,0.9818679008264464,0.934181391720753,0.9341818181818182,0.8683822386022415,0.9804641322314048,0.9341811132125846,0.9341818181818182,0.8398061527678794,0.9751198677685952,0.9196108410749648,0.9196363636363636,,,,,,,,,0.8357857961549507,0.9724583140495868,0.9178108350577848,0.917818181818182,0.8606586723584729,0.9773841983471074,0.930169851256493,0.9301818181818182
iPro-WAEL/Promoter_HUVEC,0.9037140740938384,0.9878533440751822,0.9517024186582206,0.9517102615694164,0.8974571765928582,0.9844063261752496,0.9486900698979516,0.9486921529175052,0.8967426587321915,0.983746431191666,0.9483559712016626,0.9483568075117372,0.8863748837428218,0.982756813629373,0.9426215498039552,0.942655935613682,,,,,,,,,0.8819869829714524,0.979755573458637,0.9409782528019002,0.9409792085848424,0.893579052402736,0.9842344925803422,0.9466735498499363,0.9466800804828974
iPro-WAEL/Promoter_Hela-S3,0.9050026244377264,0.9868168521557068,0.952306316349846,0.952316076294278,0.8845246044014172,0.9826326760166012,0.942087343313729,0.9420980926430518,0.8789301464250507,0.9830516968720532,0.93936696647808,0.9393732970027248,0.8648919546477443,0.9811268923223128,0.9314677581917512,0.9315395095367848,,,,,,,,,0.864451244708127,0.977828321169509,0.932220323160651,0.9322207084468664,0.876256851153089,0.9813579802359508,0.9380025850046524,0.9380108991825612
iPro-WAEL/Promoter_NHEK,0.7980438180283691,0.9610965797465542,0.8981388840971384,0.898238747553816,0.7292983985607157,0.9367008015441116,0.8644502301306567,0.8644814090019569,0.7299412915851272,0.9346232206524944,0.8649706457925636,0.8649706457925636,0.7265297849746316,0.9261826892513432,0.8629663363415996,0.863013698630137,,,,,,,,,0.7088547842530359,0.9212764388923144,0.8541621973643886,0.8542074363992173,0.7123488309060604,0.9330722155629,0.8543952479164902,0.8546966731898239
