model,dataset,split,max_length,n_sequences,n_truncated,truncation_rate,mean_tokens,max_tokens,fraction_retained_mean
LongSafari/hyenadna-medium-160k-seqlen-hf,prom/promoter_all_70bps,test,32768,17759,0,0.0,70.0,70,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,prom/promoter_notata_300bps,train,32768,37146,0,0.0,300.0,300,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,prom/promoter_notata_300bps,test,32768,15920,0,0.0,300.0,300,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,prom/promoter_notata_70bps,train,32768,37146,0,0.0,70.0,70,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,prom/promoter_notata_70bps,test,32768,15920,0,0.0,70.0,70,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,prom/promoter_tata_300bps,train,32768,4290,0,0.0,300.0,300,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,prom/promoter_tata_300bps,test,32768,1840,0,0.0,300.0,300,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,prom/promoter_tata_70bps,train,32768,4290,0,0.0,70.0,70,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,prom/promoter_tata_70bps,test,32768,1840,0,0.0,70.0,70,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,splice/acceptors,train,32768,15525,0,0.0,600.0,600,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,splice/acceptors,test,32768,6654,0,0.0,600.0,600,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,splice/donors,train,32768,15381,0,0.0,600.0,600,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,splice/donors,test,32768,6592,0,0.0,600.0,600,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,splice/splice_site_type_DNABERT,train,32768,31933,0,0.0,400.0,400,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,splice/splice_site_type_DNABERT,test,32768,13687,0,0.0,400.0,400,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,splice/splice_site_type_NT,train,32768,20999,0,0.0,400.0,400,1.0
