dataset,biocat,gc_content_mean,seq_len_mean,n_train,n_test,n_classes,kmer_k4_MCC,kmer_k5_MCC,kmer_k6_MCC,kmer_k4_AUROC,kmer_k5_AUROC,kmer_k6_AUROC,best_k,delta_k6_k4
prom/promoter_notata_300bps,promoter,0.5835,300.0,37146.0,15920.0,2.0,0.8550715120202524,0.8257422634928858,0.7357986627015785,0.9792976660942908,0.9720564032473926,0.9459342882755488,4,-0.11927284931867399
prom/promoter_notata_70bps,promoter,0.5952,70.0,37146.0,15920.0,2.0,0.6193367727750063,0.5431623408298308,0.415204721077309,0.8910589852528976,0.8558095281684805,0.7792304802909017,4,-0.20413205169769733
prom/promoter_tata_300bps,promoter,0.5319,300.0,4290.0,1840.0,2.0,0.4393059015294429,0.4666421571512529,0.440500862381152,0.7837127835538753,0.7931161389413989,0.7796047967863894,5,0.0011949608517091148
prom/promoter_tata_70bps,promoter,0.5023,70.0,4290.0,1840.0,2.0,0.4956568587826203,0.5065408903767932,0.5447663881557602,0.8261501654064273,0.8353845699432891,0.8481870274102079,6,0.04910952937313989
splice/acceptors,splice,0.4357,600.0,15525.0,6654.0,2.0,0.5234672000959323,0.5393905300222336,0.5475248940925188,0.8327134493413564,0.8407523355197773,0.8443989989338826,6,0.024057693996586527
splice/donors,splice,0.4357,600.0,15381.0,6592.0,2.0,0.5279125486071893,0.5462599307924165,0.5537163620766578,0.8385713759711328,0.8444515630177842,0.8473942339555948,6,0.025803813469468473
splice/splice_site_type_DNABERT,splice,0.472,400.0,31933.0,13687.0,3.0,0.2268994143841081,0.2238488726192558,0.1746790294495853,0.7846815772373908,0.8031703673892284,0.7918899824534565,4,-0.0522203849345228
splice/splice_site_type_NT,splice,0.4679,400.0,20999.0,9001.0,3.0,0.2218988263621867,0.2122215882743552,0.2033679696557003,0.6895744259680664,0.6819243522663411,0.6739401405194855,4,-0.01853085670648638
tf/Human_TFBS_1,TFBS,0.6622,101.0,24064.0,10314.0,2.0,0.5718813178307669,0.5468602746952076,0.5066854482025854,0.8632148143786369,0.8528724330973498,0.8319721384553712,4,-0.06519586962818147
tf/Human_TFBS_2,TFBS,0.6524,101.0,22870.0,9802.0,2.0,0.5284336774836105,0.5160266991915382,0.4941024749915352,0.8435005768782181,0.8361421895210539,0.8200821064254444,4,-0.034331202492075275
tf/Human_TFBS_3,TFBS,0.673,101.0,14699.0,6301.0,2.0,0.5149002093064681,0.5099462178852662,0.4769421072972115,0.8296099499780871,0.8338162236226341,0.8169219144338155,4,-0.03795810200925659
tf/Human_TFBS_4,TFBS,0.4748,101.0,20505.0,8789.0,2.0,0.3769829376565057,0.395256300350038,0.3883242687504333,0.7652811285220358,0.7787922614507424,0.7710815192710299,5,0.011341331093927598
tf/Human_TFBS_5,TFBS,0.624,101.0,14699.0,6301.0,2.0,0.7116751234762081,0.687860613233612,0.6457807226181479,0.93781052122531,0.9271174180028512,0.908948633087002,4,-0.0658944008580602
virus/covid_variants,enhancer/generic,0.382,999.0,64168.0,27501.0,9.0,0.65530456624256,0.6707202293146162,0.6727182149074552,0.9370882484054656,0.943608224953558,0.9442972776187564,6,0.017413648664895254
