dataset,n_train,n_test,n_classes,class_balance,seq_len_mean,seq_len_std,seq_len_min,seq_len_max,gc_content_mean,kmer_k4_AUROC,kmer_k4_Accuracy,kmer_k4_F1,kmer_k4_MCC,kmer_k5_AUROC,kmer_k5_Accuracy,kmer_k5_F1,kmer_k5_MCC,kmer_k6_AUROC,kmer_k6_Accuracy,kmer_k6_F1,kmer_k6_MCC,kmer_multi_k4_5_6_AUROC,kmer_multi_k4_5_6_Accuracy,kmer_multi_k4_5_6_F1,kmer_multi_k4_5_6_MCC,fm_NTv3_650M_pre_AUROC,fm_NTv3_650M_pre_Accuracy,fm_NTv3_650M_pre_F1,fm_NTv3_650M_pre_MCC,fm_hyenadna-medium-160k-seqlen-hf_AUROC,fm_hyenadna-medium-160k-seqlen-hf_Accuracy,fm_hyenadna-medium-160k-seqlen-hf_F1,fm_hyenadna-medium-160k-seqlen-hf_MCC,fm_DNABERT-2-117M_AUROC,fm_DNABERT-2-117M_Accuracy,fm_DNABERT-2-117M_F1,fm_DNABERT-2-117M_MCC
genomic_benchmark/enhancer_ensembl,123872.0,30970.0,2.0,1.0,268.9,122.6,2.0,573.0,0.434,0.9358437451682022,0.844107200516629,0.8437396591533199,0.6914749372221595,0.9237011996881792,0.8381659670649015,0.8377350356831335,0.6799531158257769,0.8898803981771605,0.8082337746206005,0.8078989291529591,0.618627944227811,0.9224826383693993,0.8385211494995156,0.8380244481886066,0.6812332211457465,0.8988291480427955,0.8097836616080077,0.8090257703548085,0.6245442264098119,0.792525415191866,0.7185340652244108,0.7179862258879066,0.4387761862914956,,,,
genomic_benchmark/human_vs_worm,75000.0,25000.0,2.0,1.0,200.0,0.0,200.0,200.0,0.3711,0.9856814208,0.94028,0.9402798546650544,0.8805642858929225,0.9792732480000002,0.92632,0.926319354439656,0.8526549413739801,0.959867248,0.89028,0.8902330568056328,0.7812284901125139,0.9855670144,0.94088,0.9408797820592284,0.8817665011120253,0.9905636288,0.95228,0.9522761343668836,0.904706574338526,0.9491770496000002,0.87368,0.8736100823108776,0.7481882395308985,,,,
genomic_benchmark/open_chromatin_region,139804.0,34952.0,2.0,1.0,326.3,108.1,71.0,593.0,0.4166,0.7358937465217315,0.6707198443579766,0.6691429194476761,0.3447417055691516,0.7375677782684251,0.6711490043488212,0.6695728228395765,0.34561111052306,0.7411256576785998,0.6747253376058595,0.6734771523570391,0.3521533704456454,0.7441274266808624,0.6754119935912108,0.6740334266007064,0.353829560892561,0.743301001468921,0.6771000228885329,0.6755472067105228,0.3576398843866114,0.7115839580486565,0.654755092698558,0.6527665779808477,0.313117242348927,,,,
genomic_benchmark/promoter_notata_251bps,27097.0,9034.0,2.0,0.8381,251.0,0.0,251.0,251.0,0.5605,0.9770055497968994,0.8771308390524685,0.877120715190685,0.7709718857136543,0.9789033625036644,0.8841044941332743,0.8841021069647375,0.7835145339749172,0.9593065112496316,0.8722603497896834,0.8722129446766282,0.7647858884649208,0.9722308622647152,0.8761346026123533,0.8761214745161072,0.7693805905907788,0.9464682560557888,0.8693823334071287,0.8693757776403748,0.7502437008896053,0.9289783567552988,0.8439229577152978,0.8438935471038551,0.6971812124573378,,,,
genomic_benchmark/regulatory_region_type,150000.0,57713.0,3.0,0.8175,430.0,184.3,71.0,802.0,0.4611,0.971232488046906,0.8861781574342003,0.8848877588078553,0.8302014479728175,0.9667114456237343,0.8818463777658413,0.8812208460237047,0.8239442868325784,0.9469085807938264,0.8130230623949544,0.8146244292053764,0.7264651934699327,0.8942639996224463,0.7360213470102057,0.73629844658018,0.6092721328611319,0.8351098884988546,0.6636979536672847,0.660891340408508,0.4939675420989897,0.8950126583348114,0.7473879368599795,0.7371928212372696,0.6277014191186208,,,,
iDHS-EL/DNase_I,711.0,306.0,2.0,0.3799,242.6,12.1,220.0,275.0,0.5103,0.8533086658086658,0.8300653594771242,0.7744002722168661,0.5541318506816152,0.856123981123981,0.8464052287581699,0.7952069716775598,0.5968101769219415,0.857947232947233,0.8464052287581699,0.7952069716775598,0.5968101769219415,0.8532282282282282,0.8431372549019608,0.7935222672064777,0.5910240894493848,0.8472758472758473,0.8594771241830066,0.8187877869744253,0.6389314857477728,0.7990401115401117,0.8071895424836601,0.7382985200110166,0.4862053058802824,,,,
iDNA_ABF/5mC,3281.0,1407.0,2.0,1.0,41.0,0.0,41.0,41.0,0.5355,0.8165896159317212,0.7292110874200426,0.7248066572037999,0.4741182736614529,0.7832665201086254,0.697228144989339,0.696918119925729,0.3952028703016922,0.7120841684986422,0.6552949538024165,0.6514382618778237,0.3174979732177252,0.7925166494245441,0.7192608386638237,0.7188154087526872,0.4400001945285283,0.7921206194232511,0.7292110874200426,0.7287501549624674,0.4600748284171476,0.6925049301694038,0.6396588486140725,0.6395539729964483,0.279512072958448,,,,
iDNA_ABF/6mA,25668.0,11002.0,2.0,1.0,41.0,0.0,41.0,41.0,0.4884,0.8359695371610477,0.7587711325213597,0.7587461309646268,0.5176495660077043,0.8298362304670622,0.7452281403381203,0.7447839285194532,0.4921725576073377,0.8131903501804187,0.722323213961098,0.7178256353165126,0.4595367926555976,0.8410126618085106,0.7574986366115252,0.7574968335246921,0.5150049317252411,0.8025239812787422,0.7262315942555899,0.725828223538943,0.4538004517421886,0.7394699864687226,0.6746046173423014,0.6736851862143416,0.351193904475718,,,,
iPro-WAEL/Promoter_Arabidopsis_NonTATA,8267.0,3543.0,2.0,1.0,251.0,0.0,251.0,251.0,0.3743,0.9609213781605576,0.8955687270674569,0.8955650581147458,0.7911991840381203,0.9590410080644648,0.9026248941574936,0.9026169501247828,0.8053905478625556,0.9520809938907886,0.8890770533446232,0.8890747911606789,0.7781905225664866,0.9491904944599028,0.8825853796217894,0.8825775126975699,0.76526529049296,0.9814974259227864,0.934801016088061,0.9347589178547931,0.8707534943573685,0.9315876365267866,0.852102737792831,0.8520670887496111,0.7045303106245182,,,,
iPro-WAEL/Promoter_Arabidopsis_TATA,3063.0,1313.0,2.0,0.52,251.0,0.0,251.0,251.0,0.3709,0.9645856533036378,0.9055597867479056,0.8929268536494257,0.7875570194300952,0.9644193887651572,0.8918507235338918,0.8760339040749783,0.7559018149912003,0.9634527344716656,0.8895658796648895,0.8720335696373035,0.7508103188992693,0.9593102986059556,0.8796648895658796,0.8615444784375283,0.7277682547922706,0.9696290109708818,0.9154607768469156,0.9067164202987138,0.8136472308708954,0.9277303472737772,0.8644325971058644,0.8440184630498737,0.6926062281973004,,,,
