dataset,best_kmer_MCC,best_fm_MCC,best_kmer_AUROC,best_fm_AUROC,best_kmer_F1,best_fm_F1,best_kmer_Accuracy,best_fm_Accuracy
prom/promoter_notata_70bps,0.6193367727750063,0.6506914089814118,0.8910589852528976,0.9006207071791117,0.8091819673794476,0.8253055777869558,0.8092964824120603,0.8253140703517587
prom/promoter_tata_300bps,0.4666421571512529,0.525089652567045,0.7931161389413989,0.8397300330812855,0.7330555863342567,0.762479724905629,0.7331521739130434,0.7625
prom/promoter_tata_70bps,0.5447663881557602,0.4682595845841795,0.8481870274102079,0.8108973298676749,0.7722405630765368,0.7334487521522772,0.7722826086956521,0.7336956521739131
splice/acceptors,0.5480017222950074,0.7699919062014157,0.844919408756618,0.9388951681393544,0.7698270689542317,0.8840949069968619,0.7712654042681094,0.8842801322512774
splice/donors,0.5537163620766578,0.769592055733883,0.8473942339555948,0.9408655510143968,0.7755994543704812,0.8845266149230204,0.7759405339805825,0.8845570388349514
splice/splice_site_type_DNABERT,0.2268994143841081,0.566486674087751,0.8031703673892284,0.8645906838177405,0.3614274084198316,0.6960494143600607,0.5991086432381092,0.7525389055307956
splice/splice_site_type_NT,0.2218988263621867,0.5431944651785678,0.6895744259680664,0.8516500210367027,0.4800715432498952,0.6937340273288569,0.4808354627263637,0.6947005888234641
tf/Human_TFBS_1,0.5718813178307669,0.5804360507117924,0.8632148143786369,0.8727935834009316,0.7851149707378695,0.7895168326150603,0.7853403141361257,0.7897033158813264
tf/Human_TFBS_2,0.5331742322898274,0.5480737725548114,0.8435005768782181,0.859817448112913,0.7659873125455605,0.7734444545792527,0.7661701693531933,0.7736176290552949
tf/Human_TFBS_3,0.5149002093064681,0.5033548376821587,0.8338162236226341,0.8320117070418562,0.7565910402117298,0.7513670149364751,0.7568639898428821,0.7514680209490557
tf/Human_TFBS_4,0.3995032554508381,0.3803364174443229,0.7787922614507424,0.7578731054809977,0.6993324997919386,0.6862659876592647,0.6995107520764592,0.6880191148025941
tf/Human_TFBS_5,0.7116751234762081,0.6910601214565487,0.93781052122531,0.929132197891322,0.8555269494089464,0.8448157761192566,0.8555784796064116,0.8449452467862244
virus/covid_variants,0.6727182149074552,0.5110222240348212,0.9442972776187564,0.8647613906662639,0.7176713423841289,0.568135865400936,0.7077924439111305,0.5667793898403695
dna_foundation_benchmark/EMP/Yeast_H3,0.6599388038043943,0.7530716109218736,0.9111213023625174,0.945499106611078,0.8298257276803328,0.8765351089665294,0.8300668151447661,0.8766146993318485
dna_foundation_benchmark/EMP/Yeast_H3K14ac,0.3976585207951492,0.5090011178351889,0.8228181115085008,0.8257868300018042,0.6619566037625517,0.7544618788120381,0.6960161371659103,0.7585476550680786
