dataset,n_train,n_test,n_classes,entropy_k4,perplexity_k4,mi_k4_mean,mi_k4_median,jsd_k4,entropy_k5,perplexity_k5,mi_k5_mean,mi_k5_median,jsd_k5,entropy_k6,perplexity_k6,mi_k6_mean,mi_k6_median,jsd_k6,mi_fm_NTv3_650M_pre_mean,mi_fm_NTv3_650M_pre_median,mi_fm_hyenadna-medium-160k-seqlen-hf_mean,mi_fm_hyenadna-medium-160k-seqlen-hf_median,mi_fm_DNABERT-2-117M_mean,mi_fm_DNABERT-2-117M_median
iPro-WAEL/Promoter_HUVEC,11928,2982,2,7.453431129455566,175.26950073242188,0.09858379498720671,0.06539332465143777,0.08283956348896027,8.82825756072998,454.53814697265625,0.04550776337225962,0.022859221306829935,0.10132050514221191,9.621231079101562,787.5518188476562,0.019313276861863193,0.00899872988468342,0.12212800979614258,0.1453137695401915,0.1332548304601231,0.11662044967301688,0.08761074427459625,,
iPro-WAEL/Promoter_Hela-S3,11736,2936,2,7.4232330322265625,171.63893127441406,0.09748431200181701,0.06375899814449781,0.08672972023487091,8.748249053955078,430.0167541503906,0.04407928783530805,0.02231786388995627,0.10573980957269669,9.491119384765625,719.6339111328125,0.019298097496972137,0.00948318285641303,0.12695004045963287,0.13953010226085907,0.12582025177352507,0.12456409800769119,0.0895440839561168,,
iPro-WAEL/Promoter_NHEK,8170,2044,2,6.991196155548096,127.22127532958984,0.05455936321659803,0.0357957835791235,0.08682562410831451,7.932929515838623,244.3710479736328,0.023887379372841303,0.01471755185454604,0.10434822738170624,8.387900352478027,334.97283935546875,0.010323471018011728,0.0062659639029124525,0.12297464907169342,0.07844845228985375,0.0646859565585639,0.08425256863413288,0.06666969259118316,,
iPro-WAEL/Promoter_R_capsulatus,7406,3175,2,5.061071872711182,33.383697509765625,0.0039011081914028904,0.00200132187037938,0.016358131542801857,5.236464023590088,37.69925308227539,0.0030983738421931813,0.0002084686423156068,0.027079476043581963,5.294064044952393,39.23485565185547,0.0030179897888347245,0.00046001841435305835,0.050614483654499054,0.011477642148532979,0.008547668458899427,0.008111529202837926,0.006546609648930168,,
mouse/mouse_TFBS_1,5668,2430,2,6.115449905395508,69.33202362060547,0.0034769147853663538,0.0013545246091958285,0.00567978248000145,6.467556953430176,88.49701690673828,0.0031454446557691077,0.0007676113096471981,0.012548524886369705,6.586352348327637,96.092529296875,0.0029838223913212134,0.00017686918240722438,0.02462329901754856,0.015182818662555409,0.013016462792113659,0.0030269309169845236,0.0013079466741747758,,
mouse/mouse_TFBS_2,47209,20233,2,5.706835746765137,52.231048583984375,0.004260578780353759,0.0017028758864017224,0.015222315676510334,6.098156929016113,68.50592803955078,0.00344834879537001,0.0009348784194723736,0.027245350182056427,6.281364917755127,77.78202819824219,0.003014882281624192,0.0005615213396757968,0.04379932954907417,0.018896183853610346,0.012018941190844123,0.013014809332290335,0.009235562539965603,,
mouse/mouse_TFBS_3,2293,983,2,5.345002174377441,40.644893646240234,0.006458882056368619,0.0018717449222841465,0.021776383742690086,5.724733829498291,52.88306427001953,0.005536770041232932,0.001159810756070967,0.04737074673175812,5.9202351570129395,60.557559967041016,0.004464555713729902,0.0003751312217830094,0.08214019984006882,0.07035766884503121,0.054833486301494316,0.017735759592620175,0.015437337564201181,,
mouse/mouse_TFBS_4,1667,715,2,6.125114917755127,69.79805755615234,0.006315191441706988,0.0019727773538348314,0.008582539856433868,6.4655866622924805,88.3762435913086,0.005332387686823801,0.0,0.020936179906129837,6.579147815704346,95.61385345458984,0.005133921639638111,0.0,0.046048276126384735,0.015815716933051286,0.01259115876470518,0.005471734679999355,0.0014959469961257632,,
mouse/mouse_TFBS_5,13180,5650,2,6.073179721832275,67.3301010131836,0.003084274094225359,0.0008097700130867969,0.0037404142785817385,6.4538774490356445,87.661865234375,0.00328609029927466,0.0007936408843670639,0.007822604849934578,6.587690830230713,96.18171691894531,0.0028034404432714286,0.0,0.01580190658569336,0.004335144234858206,0.0031451459375085866,0.0020434656486270535,0.00028534422797255043,,
prom/promoter_all_300bps,41437,17759,2,6.996140003204346,127.65798950195312,0.0184462503243154,0.013510869758863953,0.02500540018081665,7.744925022125244,214.51356506347656,0.007460916289831551,0.005321056099721222,0.03284645080566406,8.043731689453125,263.8788146972656,0.00399257617477509,0.0018196829024850203,0.041882991790771484,0.09691068998338025,0.08673402172020583,0.0783838339148436,0.07559611571434033,,
